iter	Passed	Remaining
607	27360	17640
608	27406	17595
609	27452	17551
610	27495	17505
611	27539	17459
612	27583	17413
613	27626	17367
614	27671	17323
615	27715	17277
616	27764	17234
617	27808	17189
618	27853	17144
619	27898	17098
620	27941	17052
621	27985	17007
622	28028	16961
623	28072	16915
624	28122	16873
625	28165	16827
626	28212	16783
627	28256	16737
628	28299	16691
629	28342	16645
630	28387	16600
631	28432	16555
632	28476	16510
633	28519	16463
634	28562	16418
635	28605	16371
636	28649	16326
637	28696	16282
638	28760	16248
639	28804	16202
640	28851	16158
641	28895	16112
642	28941	16068
643	28986	16023
644	29056	15992
645	29101	15947
646	29145	15901
647	29191	15857
648	29235	15811
649	29279	15765
650	29323	15720
651	29370	15676
652	29415	15631
653	29460	15586
654	29503	15539
655	29547	15494
656	29591	15448
657	29635	15403
658	29679	15357
659	29726	15313
660	29771	15268
661	29816	15223
662	29861	15178
663	29905	15132
664	29950	15087
665	29993	15041
666	30037	14996
667	30080	14949
668	30124	14904
669	30168	14858
670	30211	14812
671	30255	14767
672	30300	14722
673	30344	14676
674	30389	14632
675	30434	14586
676	30478	14541
677	30521	14495
678	30566	14450
679	30609	14404
680	30667	14365
681	30712	14320
682	30760	14276
683	30804	14231
684	30848	14185
685	30891	14139
686	30935	14094
687	30983	14050
688	31027	14005
689	31072	13960
690	31119	13916
691	31164	13870
692	31224	13832
693	31269	13787
694	31314	13742
695	31358	13696
696	31401	13650
697	31450	13607
698	31493	13561
699	31539	13516
700	31581	13470
701	31627	13425
702	31671	13380
703	31716	13335
704	31764	13291
705	31809	13246
706	31852	13200
707	31895	13154
708	31940	13109
709	31983	13063
710	32025	13017
711	32069	12971
712	32112	12926
713	32156	12880
714	32199	12834
715	32243	12789
716	32286	12743
717	32329	12697
718	32373	12652
719	32418	12607
720	32461	12561
721	32505	12515
722	32548	12470
723	32591	12424
724	32634	12378
725	32677	12332
726	32721	12287
727	32765	12241
728	32818	12199
729	32862	12154
730	32906	12109
731	32952	12064
732	32996	12019
733	33040	11973
734	33084	11928
735	33132	11884
736	33175	11838
737	33219	11793
738	33262	11747
739	33306	11702
740	33350	11657
741	33393	11611
742	33439	11566
743	33487	11522
744	33531	11477
745	33576	11432
746	33619	11386
747	33663	11341
748	33705	11295
749	33750	11250
750	33792	11204
751	33837	11159
752	33880	11113
753	33929	11069
754	33973	11024
755	34016	10978
756	34059	10933
757	34103	10887
758	34146	10842
759	34189	10796
760	34236	10752
761	34279	10706
762	34322	10661
763	34366	10615
764	34412	10571
765	34460	10527
766	34506	10482
767	34550	10437
768	34605	10395
769	34649	10349
770	34691	10304
771	34738	10259
772	34783	10214
773	34830	10170
774	34879	10126
775	34958	10091
776	35005	10046
777	35055	10003
778	35102	9958
779	35149	9914
780	35196	9869
781	35242	9824
782	35299	9782
783	35348	9739
784	35391	9693
785	35436	9648
786	35479	9602
787	35521	9556
788	35562	9510
789	35605	9464
790	35646	9418
791	35687	9372
792	35729	9326
793	35772	9280
794	35814	9235
795	35856	9189
796	35899	9143
797	35941	9098
798	35990	9053
799	36031	9007
800	36072	8961
801	36114	8916
802	36157	8870
803	36198	8824
804	36239	8778
805	36281	8732
806	36326	8687
807	36371	8642
808	36416	8597
809	36460	8552
810	36504	8507
811	36546	8461
812	36589	8416
813	36631	8370
814	36673	8324
815	36718	8279
816	36762	8234
817	36805	8189
818	36850	8144
819	36896	8099
820	36948	8055
821	36996	8011
822	37040	7966
823	37080	7920
824	37122	7874
825	37164	7828
826	37206	7783
827	37247	7737
828	37288	7691
829	37329	7645
830	37370	7600
831	37412	7554
832	37453	7508
833	37494	7463
834	37537	7417
835	37579	7371
836	37619	7326
837	37661	7280
838	37701	7234
839	37744	7189
840	37792	7145
841	37834	7099
842	37875	7053
843	37915	7008
844	37957	6962
845	37998	6917
846	38040	6871
847	38081	6826
848	38123	6780
849	38164	6734
850	38205	6689
851	38246	6643
852	38288	6598
853	38330	6552
854	38372	6507
855	38414	6462
856	38456	6416
857	38497	6371
858	38538	6325
859	38579	6280
860	38620	6234
861	38661	6189
862	38703	6144
863	38746	6098
864	38788	6053
865	38830	6008
866	38872	5963
867	38913	5917
868	38954	5872
869	38997	5827
870	39038	5781
871	39079	5736
872	39122	5691
873	39163	5646
874	39206	5600
875	39247	5555
876	39289	5510
877	39330	5465
878	39373	5419
879	39419	5375
880	39460	5330
881	39502	5284
882	39548	5240
883	39589	5194
884	39630	5149
885	39672	5104
886	39715	5059
887	39758	5014
888	39802	4969
889	39844	4924
890	39885	4879
891	39927	4834
892	39969	4789
893	40012	4744
894	40053	4699
895	40095	4653
896	40137	4608
897	40179	4563
898	40221	4518
899	40263	4473
900	40304	4428
901	40345	4383
902	40388	4338
903	40430	4293
904	40471	4248
905	40512	4203
906	40554	4158
907	40595	4113
908	40690	4073
909	40735	4028
910	40777	3983
911	40826	3939
912	40872	3894
913	40918	3850
914	40960	3805
915	41011	3760
916	41054	3715
917	41104	3671
918	41146	3626
919	41187	3581
920	41229	3536
921	41272	3491
922	41314	3446
923	41357	3401
924	41399	3356
925	41447	3312
926	41492	3267
927	41537	3222
928	41583	3178
929	41628	3133
930	41670	3088
931	41711	3043
932	41753	2998
933	41795	2953
934	41837	2908
935	41878	2863
936	41920	2818
937	41962	2773
938	42003	2728
939	42047	2683
940	42089	2638
941	42129	2593
942	42171	2549
943	42212	2504
944	42254	2459
945	42296	2414
946	42338	2369
947	42379	2324
948	42423	2279
949	42471	2235
950	42513	2190
951	42555	2145
952	42597	2100
953	42638	2055
954	42679	2011
955	42723	1966
956	42764	1921
957	42807	1876
958	42852	1832
959	42895	1787
960	42937	1742
961	42979	1697
962	43020	1652
963	43062	1608
964	43104	1563
965	43147	1518
966	43189	1473
967	43232	1429
968	43273	1384
969	43315	1339
970	43357	1294
971	43398	1250
972	43439	1205
973	43482	1160
974	43523	1115
975	43565	1071
976	43607	1026
977	43649	981
978	43691	937
979	43732	892
980	43773	847
981	43815	803
982	43857	758
983	43899	713
984	43945	669
985	43986	624
986	44041	580
987	44086	535
988	44129	490
989	44170	446
990	44211	401
991	44252	356
992	44292	312
993	44334	267
994	44376	222
995	44420	178
996	44461	133
997	44503	89
998	44546	44
999	44590	0
